City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Esperance,AU,75.04,clear sky,-33.8667,121.9,Hospitality Esperance
4,Iracoubo,GF,75.31,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
9,New Norfolk,AU,81.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
10,Hobart,AU,82.02,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
13,Busselton,AU,83.08,clear sky,-33.65,115.3333,Observatory Guest House
17,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
19,Galle,LK,77.49,overcast clouds,6.0367,80.217,Amangalla
24,Nueva Granada,CO,83.32,overcast clouds,9.8017,-74.393,HOTEL BELLA VISTA NUEVA GRANADA
26,Atuona,PF,77.79,clear sky,-9.8,-139.0333,Villa Enata
27,Mar Del Plata,AR,80.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
38,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
47,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Mount Isa,AU,89.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
54,Arraial Do Cabo,BR,75.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
55,Rikitea,PF,78.62,scattered clouds,-23.1203,-134.9692,People ThankYou
57,Vaini,TO,81.07,clear sky,-21.2,-175.2,Keleti Beach Resort
68,Sibolga,ID,79.95,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
70,La Orilla,MX,76.6,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
72,Butaritari,KI,82.17,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
84,Hithadhoo,MV,83.3,overcast clouds,-0.6,73.0833,Scoop Guest House
85,Puerto Ayora,EC,77.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Dicabisagan,PH,75.81,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
