City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,56.48,37,11,5.39,few clouds
1,Carnarvon,AU,-24.8667,113.6333,93.27,33,0,17.27,clear sky
2,Esperance,AU,-33.8667,121.9,75.04,51,0,6.87,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,24.16,scattered clouds
4,Iracoubo,GF,5.4802,-53.2011,75.31,91,99,9.53,light rain
5,Camalu,MX,30.85,-116.0667,53.42,82,100,10.56,overcast clouds
6,Katsuura,JP,35.1333,140.3,46.51,55,46,11.05,scattered clouds
7,Guerrero Negro,MX,27.9769,-114.0611,61.68,74,23,10.33,few clouds
8,Ushuaia,AR,-54.8,-68.3,40.66,75,40,28.77,scattered clouds
9,New Norfolk,AU,-42.7826,147.0587,81.66,37,92,3.6,overcast clouds
10,Hobart,AU,-42.8794,147.3294,82.02,51,75,6.91,broken clouds
11,Ribeira Grande,PT,38.5167,-28.7,62.17,87,100,16.91,overcast clouds
12,Coquimbo,CL,-29.9533,-71.3436,64.13,77,0,10.36,clear sky
13,Busselton,AU,-33.65,115.3333,83.08,45,0,8.63,clear sky
14,Ahipara,NZ,-35.1667,173.1667,72.01,55,97,8.16,overcast clouds
15,Severo-Kurilsk,RU,50.6789,156.125,28.67,69,92,11.97,overcast clouds
16,Anamur,TR,36.0751,32.8369,46.42,62,1,5.35,clear sky
17,Cabo San Lucas,MX,22.8909,-109.9124,83.5,62,0,11.05,clear sky
18,Lebu,CL,-37.6167,-73.65,55.98,91,2,7.78,clear sky
19,Galle,LK,6.0367,80.217,77.49,80,97,2.59,overcast clouds
20,Berlevag,NO,70.8578,29.0864,30.72,67,100,17.29,light snow
21,Saskylakh,RU,71.9167,114.0833,-31.99,100,6,2.62,clear sky
22,Nikolskoye,RU,59.7035,30.7861,38.88,99,100,11.27,overcast clouds
23,Qaqortoq,GL,60.7167,-46.0333,1.9,60,0,15.79,clear sky
24,Nueva Granada,CO,9.8017,-74.393,83.32,48,100,7.23,overcast clouds
25,Bluff,NZ,-46.6,168.3333,56.8,56,0,4.92,clear sky
26,Atuona,PF,-9.8,-139.0333,77.79,77,6,13.69,clear sky
27,Mar Del Plata,AR,-38.0023,-57.5575,80.62,54,0,11.5,clear sky
28,Maputo,MZ,-25.9653,32.5892,72.23,95,90,1.99,overcast clouds
29,Baiyin,CN,36.5583,104.2081,25.68,73,100,2.75,overcast clouds
30,Rabo De Peixe,PT,37.8,-25.5833,62.28,82,75,12.66,broken clouds
31,Esna,EG,25.2934,32.554,51.82,48,32,13.0,scattered clouds
32,Ankang,CN,32.68,109.0172,44.24,68,92,5.39,overcast clouds
33,Victoria,HK,22.2855,114.1577,67.17,75,95,18.99,overcast clouds
34,Upernavik,GL,72.7868,-56.1549,-13.22,92,100,10.69,overcast clouds
35,Bethel,US,41.3712,-73.414,27.54,56,0,1.99,clear sky
36,Castro,BR,-24.7911,-50.0119,62.87,99,26,7.05,scattered clouds
37,Saint-Augustin,CA,51.226,-58.6502,-12.32,90,48,8.5,scattered clouds
38,Avarua,CK,-21.2078,-159.775,78.85,83,75,8.05,broken clouds
39,Hoa Binh,VN,20.8133,105.3383,58.89,88,100,2.17,overcast clouds
40,Airai,TL,-8.9266,125.4092,73.53,54,8,1.68,clear sky
41,Teya,RU,60.3778,92.6267,-22.61,100,45,2.42,scattered clouds
42,Mandalgovi,MN,45.7625,106.2708,2.19,78,5,6.31,clear sky
43,Laguna,US,38.421,-121.4238,61.92,31,0,24.16,clear sky
44,Antofagasta,CL,-23.65,-70.4,67.28,83,28,4.23,scattered clouds
45,Okha,RU,53.5739,142.9478,5.09,94,99,17.43,overcast clouds
46,Port Elizabeth,ZA,-33.918,25.5701,72.1,94,100,2.3,mist
47,Kapaa,US,22.0752,-159.319,80.58,63,0,13.8,clear sky
48,Prince Rupert,CA,54.3161,-130.3201,38.89,100,100,13.8,light rain
49,Bandar-E Anzali,IR,37.4727,49.4622,46.51,84,100,0.45,overcast clouds
50,Lebanon,US,36.2081,-86.2911,58.78,38,20,8.05,few clouds
51,Karratha,AU,-20.7377,116.8463,92.7,50,0,9.57,clear sky
52,Misratah,LY,32.3754,15.0925,59.04,82,99,21.59,overcast clouds
53,Mount Isa,AU,-20.7333,139.5,89.37,43,19,13.8,few clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,75.76,88,39,9.89,scattered clouds
55,Rikitea,PF,-23.1203,-134.9692,78.62,68,43,11.54,scattered clouds
56,Pacific Grove,US,36.6177,-121.9166,59.38,75,0,18.99,clear sky
57,Vaini,TO,-21.2,-175.2,81.07,70,8,13.31,clear sky
58,Cape Town,ZA,-33.9258,18.4232,69.28,78,75,11.5,broken clouds
59,Verkhoyansk,RU,67.5447,133.385,-30.64,96,54,1.63,broken clouds
60,Buin,CL,-33.7333,-70.75,71.74,63,0,2.57,clear sky
61,Avallon,FR,47.4833,3.9,44.78,92,100,19.1,light rain
62,Bredasdorp,ZA,-34.5322,20.0403,69.12,83,100,8.05,overcast clouds
63,Oldenzaal,NL,52.3,6.9333,46.71,91,100,8.01,overcast clouds
64,Verkhnevilyuysk,RU,63.4453,120.3167,-23.71,97,73,2.89,broken clouds
65,Qaanaaq,GL,77.484,-69.3632,-18.78,92,100,4.09,overcast clouds
66,Ovalle,CL,-30.5983,-71.2003,70.25,56,0,2.75,clear sky
67,Santa Rosalia,MX,27.3167,-112.2833,69.17,28,8,7.96,clear sky
68,Sibolga,ID,1.7427,98.7792,79.95,81,98,2.24,overcast clouds
69,Yellowknife,CA,62.456,-114.3525,-23.28,69,20,9.22,few clouds
70,La Orilla,MX,17.9833,-102.2333,76.6,76,0,5.28,clear sky
71,Nanortalik,GL,60.1432,-45.2371,9.16,65,52,30.36,broken clouds
72,Butaritari,KI,3.0707,172.7902,82.17,75,75,15.61,light rain
73,Tasiilaq,GL,65.6145,-37.6368,26.76,86,100,29.12,light snow
74,Provideniya,RU,64.3833,-173.3,1.51,66,0,22.37,clear sky
75,Port Alfred,ZA,-33.5906,26.891,71.98,92,99,2.06,overcast clouds
76,Mundo Nuevo,MX,18.7,-95.5,67.93,71,9,11.1,clear sky
77,Albany,US,42.6001,-73.9662,21.15,70,14,2.82,few clouds
78,San Cristobal,VE,7.7669,-72.225,69.98,90,100,0.72,overcast clouds
79,Touros,BR,-5.1989,-35.4608,81.5,73,6,12.01,clear sky
80,Havoysund,NO,70.9963,24.6622,25.68,61,100,13.18,light snow
81,Port Hedland,AU,-20.3167,118.5667,91.45,66,15,5.75,few clouds
82,Zhigansk,RU,66.7697,123.3711,-32.91,98,46,2.01,scattered clouds
83,Haines Junction,CA,60.7522,-137.5108,24.75,63,76,1.14,broken clouds
84,Hithadhoo,MV,-0.6,73.0833,83.3,69,100,15.12,overcast clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,77.56,92,97,4.0,overcast clouds
86,Camopi,GF,3.1655,-52.3158,71.89,99,100,2.13,overcast clouds
87,Codrington,AU,-38.2667,141.9667,67.86,55,100,4.61,moderate rain
88,Elizabeth City,US,36.2946,-76.2511,37.02,75,0,6.91,clear sky
89,Pevek,RU,69.7008,170.3133,-21.6,99,100,3.65,overcast clouds
90,Iqaluit,CA,63.7506,-68.5145,-31.27,73,75,6.91,broken clouds
91,Otradnoye,RU,59.7775,30.8181,39.04,99,100,11.56,overcast clouds
92,Dicabisagan,PH,17.0818,122.4157,75.81,86,91,7.16,overcast clouds
93,Grand Island,US,40.925,-98.342,50.29,39,0,4.61,clear sky
94,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,75,9.22,light rain
95,Grindavik,IS,63.8424,-22.4338,30.67,93,75,11.5,broken clouds
96,Hilo,US,19.7297,-155.09,77.25,69,40,10.36,scattered clouds
97,Dikson,RU,73.5069,80.5464,-18.78,90,94,4.45,overcast clouds
98,Gushikawa,JP,26.3544,127.8686,61.83,72,75,8.05,broken clouds
99,Sitka,US,57.0531,-135.33,42.69,81,100,6.91,overcast clouds
100,Kieta,PG,-6.2167,155.6333,78.1,86,98,2.13,light rain
101,Batemans Bay,AU,-35.7167,150.1833,89.2,41,4,11.7,clear sky
102,Marsa Matruh,EG,31.3525,27.2453,55.6,71,40,9.22,scattered clouds
103,Broska,UA,45.3733,28.783,34.3,88,3,8.12,clear sky
104,Banda Aceh,ID,5.5577,95.3222,81.05,74,88,3.38,overcast clouds
105,San Patricio,US,28.017,-97.5169,68.09,79,0,13.85,clear sky
106,Fortuna,US,40.5982,-124.1573,50.94,78,0,21.85,clear sky
107,Saint-Francois,FR,46.4154,3.9054,42.67,87,100,10.36,light rain
108,Hay River,CA,60.8156,-115.7999,-22.02,69,20,2.3,few clouds
109,Lagoa,PT,39.05,-27.9833,61.12,85,100,22.35,overcast clouds
110,Arlit,NE,18.7369,7.3853,67.73,12,0,4.14,clear sky
111,Jamestown,US,42.097,-79.2353,24.12,58,40,4.61,scattered clouds
112,Norman Wells,CA,65.282,-126.8329,-27.36,68,20,2.3,few clouds
113,Boende,CD,-0.2167,20.8667,75.99,66,100,1.54,overcast clouds
114,Leningradskiy,RU,69.3833,178.4167,-18.29,97,89,6.46,overcast clouds
115,Georgetown,MY,5.4112,100.3354,84.13,89,20,5.99,few clouds
116,Letterkenny,IE,54.95,-7.7333,52.3,89,100,26.73,overcast clouds
117,Namatanai,PG,-3.6667,152.4333,79.66,83,100,2.86,moderate rain
