City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-02-11 19:07:58,42.6001,-73.9662,51.62,41,70,3.0
1,Carutapera,BR,2022-02-11 19:10:31,-1.195,-46.02,83.77,68,97,7.52
2,Korop,UA,2022-02-11 19:10:31,51.5664,32.9586,30.16,95,100,4.74
3,Cabo San Lucas,MX,2022-02-11 19:07:47,22.8909,-109.9124,78.51,55,0,6.91
4,Waterloo,CA,2022-02-11 19:07:06,43.4668,-80.5164,36.32,96,100,14.0
5,Touros,BR,2022-02-11 19:10:32,-5.1989,-35.4608,86.9,66,42,13.51
6,Praia Da Vitoria,PT,2022-02-11 19:10:32,38.7333,-27.0667,60.76,76,74,4.9
7,Tezu,IN,2022-02-11 19:10:33,27.9167,96.1667,54.07,68,95,3.04
8,Mataura,NZ,2022-02-11 19:10:33,-46.1927,168.8643,53.47,92,95,3.89
9,Quatre Cocos,MU,2022-02-11 19:10:34,-20.2078,57.7625,76.08,80,35,3.56
10,Arraial Do Cabo,BR,2022-02-11 19:10:34,-22.9661,-42.0278,75.06,88,75,6.91
11,Grootfontein,NA,2022-02-11 19:10:34,-19.5667,18.1167,72.46,59,67,4.07
12,Bethel,US,2022-02-11 19:10:35,41.3712,-73.414,56.98,42,0,10.36
13,Sorong,ID,2022-02-11 19:10:35,-0.8833,131.25,77.77,83,100,5.28
14,Mahebourg,MU,2022-02-11 19:10:36,-20.4081,57.7,76.24,78,14,2.08
15,Rikitea,PF,2022-02-11 19:10:36,-23.1203,-134.9692,79.07,73,8,17.52
16,Hobart,AU,2022-02-11 19:10:37,-42.8794,147.3294,52.27,74,75,10.36
17,Grand Gaube,MU,2022-02-11 19:10:37,-20.0064,57.6608,76.37,78,98,1.99
18,Punta Arenas,CL,2022-02-11 19:10:38,-53.15,-70.9167,59.02,67,0,32.21
19,Barrow,US,2022-02-11 19:10:38,71.2906,-156.7887,-30.98,100,75,5.75
20,Sri Aman,MY,2022-02-11 19:10:39,1.2376,111.4621,72.45,99,100,2.62
21,Souillac,MU,2022-02-11 19:10:39,-20.5167,57.5167,76.35,80,6,1.36
22,Mehtar Lam,AF,2022-02-11 19:10:39,34.6714,70.2094,48.97,25,2,3.49
23,Bluff,NZ,2022-02-11 19:10:40,-46.6,168.3333,53.8,65,25,13.2
